分類,分子/基因/標記,異常型式,主要對應疾病,診斷意義,治療/標靶意涵,國考出處
腫瘤抑制基因,TP53,失活突變,High-grade serous ovarian Ca (>96%);Li-Fraumeni syndrome;SCLC;骨肉瘤;許多固態腫瘤,IHC 異常表現 (核強陽 or 完全陰性);分子定序,PARP inhibitor 反應差異;免疫療法考量,115-1-87;104-114 多次
腫瘤抑制基因,RB,失活突變,Retinoblastoma;SCLC;膀胱癌,IHC 表現缺失,Cyclin D/CDK4-6 inhibitor (palbociclib),歷年 2-3 次
腫瘤抑制基因,APC,失活突變,Familial adenomatous polyposis;Sporadic CRC,基因檢測,大腸鏡監測;CRC 化療,歷年 2-3 次
腫瘤抑制基因,VHL,失活,von Hippel-Lindau syndrome;Clear cell RCC;Hemangioblastoma;Pheochromocytoma,基因檢測;IHC,Anti-VEGF (bevacizumab);TKI (sunitinib),歷年 2-3 次
腫瘤抑制基因,BRCA1/2,germline 突變,Hereditary breast/ovarian Ca,基因檢測,PARP inhibitor (olaparib);選擇性預防手術,歷年 3-4 次
腫瘤抑制基因,PTEN,失活,Cowden syndrome;子宮內膜癌;膠質瘤;前列腺癌,IHC 失表現,PI3K/mTOR inhibitor,歷年 2-3 次
腫瘤抑制基因,CDKN2A (p16),失活,Familial melanoma;口腔 SCC;Pancreatic Ca,IHC;FISH,CDK4/6 inhibitor 評估,114-2-89;歷年 2 次
腫瘤抑制基因,NF1,失活,Neurofibromatosis type 1;MPNST,基因檢測,MEK inhibitor (selumetinib),歷年 2 次
腫瘤抑制基因,NF2,失活,NF2;Schwannoma;Meningioma,基因檢測,Symptomatic 處理,歷年 1-2 次
癌基因,KRAS,激活突變 G12 系列,Pancreatic Ca (>90%);CRC;Lung adenoCa,Sanger/NGS,Sotorasib (KRAS G12C);影響 EGFR-TKI 反應,歷年 3-4 次
癌基因,BRAF V600E,激活突變,Melanoma;PTC;Hairy cell leukemia;CRC,IHC (VE1);分子,Vemurafenib;Dabrafenib + trametinib,歷年 4-5 次
癌基因,EGFR,L858R;exon 19 del,Lung adenoCa (亞洲非吸菸女性多),IHC;分子,Gefitinib;Erlotinib;Osimertinib (T790M),歷年 3-4 次
癌基因,HER2 (ERBB2),擴增/過表現,乳癌;胃癌,IHC 0/1+/2+/3+;FISH,Trastuzumab;Pertuzumab;T-DXd,歷年 3-4 次;115-1-99
癌基因,RET,點突變 (MEN2);融合 (PTC;NSCLC),Medullary thyroid Ca;MEN2A/2B;PTC;NSCLC,分子,Selpercatinib;Pralsetinib,歷年 3-4 次
癌基因,ALK,EML4-ALK 融合,Lung adenoCa (年輕非吸菸);IMT;ALCL,IHC;FISH,Crizotinib;Alectinib;Lorlatinib,歷年 2-3 次
癌基因,ROS1,融合,Lung adenoCa,FISH;IHC,Crizotinib;Entrectinib,歷年 1-2 次
癌基因,c-KIT (CD117),激活突變,GIST;Mastocytosis,IHC;分子,Imatinib (selectivity by exon),歷年 2-3 次
癌基因,PDGFRA,激活突變,GIST (KIT-);Hypereosinophilic syndrome,分子,Imatinib;Avapritinib,歷年 1-2 次
癌基因,c-MYC,t(8;14)/t(8;22)/t(2;8),Burkitt lymphoma,FISH (MYC rearrangement),Burkitt 化療方案,歷年 2-3 次
癌基因,BCL2,t(14;18),Follicular lymphoma;DLBCL,IHC;FISH,Venetoclax,歷年 2-3 次
癌基因,Cyclin D1 (BCL1),t(11;14),Mantle cell lymphoma,IHC;FISH,Ibrutinib;Venetoclax,歷年 2 次
癌基因,BCR-ABL1,t(9;22) Ph chromosome,CML;Ph+ ALL,FISH;PCR (BCR-ABL fusion),Imatinib;Dasatinib;Nilotinib,歷年 2 次
癌基因,JAK2 V617F,點突變,Polycythemia vera;ET;Primary myelofibrosis,分子,Ruxolitinib,歷年 2 次
癌基因,PIK3CA,激活突變,乳癌;頭頸 SCC;口腔 SCC,分子,Alpelisib,114-2-89
癌基因,MED12,點突變,子宮平滑肌瘤,分子 (研究用),—,歷年 1 次
癌基因,DICER1,失活,Sertoli-Leydig cell tumor;Pleuropulmonary blastoma,基因檢測,—,歷年 1 次
癌基因,H3.3 K27M,激活,Diffuse midline glioma,IHC;分子 (WHO 2021 必查),—,歷年 1 次
癌基因,IDH1/2,激活突變,Glioma WHO grade 2-3;AML;Cholangiocarcinoma,IHC (IDH1 R132H);分子,Ivosidenib;Enasidenib,歷年 2 次
癌基因,TMPRSS2-ERG,融合,Prostate Ca,FISH,—,歷年 1-2 次
癌基因,FGFR3,激活,Bladder Ca (low-grade);軟骨發育不全,分子,Erdafitinib,歷年 1-2 次
癌基因,CDH1,失活,Hereditary diffuse gastric Ca;Lobular breast Ca,IHC E-cadherin 失表現,預防性胃切除,歷年 1 次
代謝/分型,MSI-H / dMMR,微衛星不穩定;MMR 蛋白失,Lynch syndrome;CRC;EC;Gastric Ca,IHC (MLH1/MSH2/MSH6/PMS2);PCR (BAT-25/26),Pembrolizumab (PD-1 inhibitor),歷年 2-3 次
代謝/分型,TMB-H,腫瘤突變負荷,各類腫瘤,NGS Panel,免疫檢查點 inhibitor,新興 (近 1-2 年)
